1.0061 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
2274.5345 	EXP 	New trial (rep=0, index=1): OrderedDict([('trial_count', 4), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.8385007886340543), ('stimImage_i', 0), ('stimImage', 'images/picture_1.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage1_X', -11.733433509789464), ('responseImage1_Y', -11.733433509789462), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage2_X', -11.733433509789462), ('responseImage2_Y', 11.733433509789464), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [11.733433509789462, -11.733433509789466]), ('responseImage3_X', 11.733433509789462), ('responseImage3_Y', -11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.8385007886340543), ('resp_onset', 1.8385007886340543), ('resp_dur', 1.1614992113659457), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.5885007886340543), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
2274.5428 	EXP 	eyetracker.clearEvents()
2275.0454 	EXP 	eyetracker.setRecordingState(True)
2275.0610 	EXP 	sample: autoDraw = False
2275.0610 	EXP 	Delay: autoDraw = False
2275.0610 	EXP 	Response_1: autoDraw = False
2275.0610 	EXP 	Response_2: autoDraw = False
2275.0610 	EXP 	Response_3: autoDraw = False
2275.0610 	EXP 	polygon: autoDraw = False
2275.0610 	EXP 	sample: image = 'images/picture_1.png'
2275.0610 	EXP 	sample: autoDraw = True
2275.0610 	EXP 	Delay: autoDraw = True
2275.3922 	DATA 	Keypress: t
2276.0762 	EXP 	sample: autoDraw = False
2276.3899 	EXP 	Response_1: autoDraw = True
2276.3899 	EXP 	Response_2: autoDraw = True
2276.3899 	EXP 	Response_3: autoDraw = True
2276.6566 	EXP 	Delay: autoDraw = False
2276.8919 	DATA 	Keypress: t
2277.5428 	EXP 	polygon: autoDraw = True
2277.5568 	EXP 	Response_1: autoDraw = False
2277.5568 	EXP 	Response_2: autoDraw = False
2277.5568 	EXP 	Response_3: autoDraw = False
2278.3922 	DATA 	Keypress: t
2278.5569 	EXP 	polygon: autoDraw = False
2279.5586 	EXP 	eyetracker.setRecordingState(False)
2279.5618 	EXP 	New trial (rep=0, index=2): OrderedDict([('trial_count', 2), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.8385007886340543), ('stimImage_i', 0), ('stimImage', 'images/picture_1.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage1_X', -11.733433509789464), ('responseImage1_Y', -11.733433509789462), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage2_X', -11.733433509789462), ('responseImage2_Y', 11.733433509789464), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [11.733433509789462, -11.733433509789466]), ('responseImage3_X', 11.733433509789462), ('responseImage3_Y', -11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.8385007886340543), ('resp_onset', 1.8385007886340543), ('resp_dur', 1.1614992113659457), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.5885007886340543), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
2279.5697 	EXP 	eyetracker.clearEvents()
2280.0715 	EXP 	eyetracker.setRecordingState(True)
2280.0780 	DATA 	Keypress: t
2280.0872 	EXP 	sample: autoDraw = False
2280.0872 	EXP 	Delay: autoDraw = False
2280.0872 	EXP 	Response_1: autoDraw = False
2280.0872 	EXP 	Response_2: autoDraw = False
2280.0872 	EXP 	Response_3: autoDraw = False
2280.0872 	EXP 	polygon: autoDraw = False
2280.0872 	EXP 	sample: image = 'images/picture_1.png'
2280.0872 	EXP 	sample: autoDraw = True
2280.0872 	EXP 	Delay: autoDraw = True
2281.0902 	EXP 	sample: autoDraw = False
2281.3920 	DATA 	Keypress: t
2281.4088 	EXP 	Response_1: autoDraw = True
2281.4088 	EXP 	Response_2: autoDraw = True
2281.4088 	EXP 	Response_3: autoDraw = True
2281.6902 	EXP 	Delay: autoDraw = False
2282.5762 	EXP 	Response_1: autoDraw = False
2282.5762 	EXP 	Response_2: autoDraw = False
2282.5762 	EXP 	Response_3: autoDraw = False
2282.5762 	EXP 	polygon: autoDraw = True
2282.8926 	DATA 	Keypress: t
2283.5899 	EXP 	polygon: autoDraw = False
2284.5776 	EXP 	eyetracker.setRecordingState(False)
2284.5832 	DATA 	Keypress: t
2284.5868 	EXP 	New trial (rep=0, index=3): OrderedDict([('trial_count', 7), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.8385007886340543), ('stimImage_i', 0), ('stimImage', 'images/picture_1.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [11.733433509789462, -11.733433509789466]), ('responseImage1_X', 11.733433509789462), ('responseImage1_Y', -11.733433509789464), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [-11.733433509789466, -11.733433509789462]), ('responseImage2_X', -11.733433509789464), ('responseImage2_Y', -11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [11.733433509789464, 11.733433509789462]), ('responseImage3_X', 11.733433509789464), ('responseImage3_Y', 11.733433509789462), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.8385007886340543), ('resp_onset', 1.8385007886340543), ('resp_dur', 1.1614992113659457), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.5885007886340543), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
2284.5922 	EXP 	eyetracker.clearEvents()
2285.0938 	EXP 	eyetracker.setRecordingState(True)
2285.1096 	EXP 	sample: autoDraw = False
2285.1096 	EXP 	Delay: autoDraw = False
2285.1096 	EXP 	Response_1: autoDraw = False
2285.1096 	EXP 	Response_2: autoDraw = False
2285.1096 	EXP 	Response_3: autoDraw = False
2285.1096 	EXP 	polygon: autoDraw = False
2285.1096 	EXP 	sample: image = 'images/picture_1.png'
2285.1096 	EXP 	sample: autoDraw = True
2285.1096 	EXP 	Delay: autoDraw = True
2285.8922 	DATA 	Keypress: t
2286.1234 	EXP 	sample: autoDraw = False
2286.4234 	EXP 	Response_1: autoDraw = True
2286.4234 	EXP 	Response_2: autoDraw = True
2286.4234 	EXP 	Response_3: autoDraw = True
2286.7096 	EXP 	Delay: autoDraw = False
2287.3920 	DATA 	Keypress: t
2287.5902 	EXP 	Response_1: autoDraw = False
2287.5902 	EXP 	Response_2: autoDraw = False
2287.5902 	EXP 	Response_3: autoDraw = False
2287.5902 	EXP 	polygon: autoDraw = True
2288.5902 	EXP 	polygon: autoDraw = False
2288.8921 	DATA 	Keypress: t
2289.6119 	EXP 	eyetracker.setRecordingState(False)
2289.6154 	EXP 	New trial (rep=0, index=4): OrderedDict([('trial_count', 6), ('blockType', 'PRED'), ('blockNum', 12), ('delay_time', 0.8385007886340543), ('stimImage_i', 0), ('stimImage', 'images/picture_1.png'), ('responseImage1', 'images/picture_1.png'), ('responseImage1_i', 0), ('responseImage1_pos', [-11.733433509789462, 11.733433509789464]), ('responseImage1_X', -11.733433509789462), ('responseImage1_Y', 11.733433509789464), ('responseImage2', 'images/picture_2.png'), ('responseImage2_i', 1), ('responseImage2_pos', [11.733433509789464, 11.733433509789462]), ('responseImage2_X', 11.733433509789464), ('responseImage2_Y', 11.733433509789462), ('responseImage3', 'images/picture_3.png'), ('responseImage3_i', 2), ('responseImage3_pos', [11.733433509789462, -11.733433509789466]), ('responseImage3_X', 11.733433509789462), ('responseImage3_Y', -11.733433509789464), ('cue_onset', 0), ('cue_dur', 1), ('delay_onset', 1), ('delay_dur', 0.8385007886340543), ('resp_onset', 1.8385007886340543), ('resp_dur', 1.1614992113659457), ('rest_onset', 3.0), ('rest_dur', 1), ('circle_dur', 1.5885007886340543), ('circle_onset', 0), ('total_dur', 4.0), ('cross_onset', 3.0), ('cross_dur', 1), ('delay_resp_period', 2)])
2289.6227 	EXP 	eyetracker.clearEvents()
